number,description,citation,editor,type,location,date,text,notes,bibliography
1,cover of cinerary urn (stone),SE 69 (2003) REE 11 (tav. XXIV),Paolo Bruschetti,Funerary Texts,Clusium,200-100,larθ : raplni :,,
2,fragments of bowl (bucchero),SE 69 (2003) REE 15 (tav. XXIV),Giovanni Colonna,Proprietary Texts,Ager Tarquiniensis (San Giovenale),550,mi v[e]nelus vefunas,"The form of the letter f is noteworthy. It has the basic shape 8, but angular, and the bottom portion is incomplete.",
3,cover of cinerary urn (stone),SE 69 (2003) REE 10 (tav. XXIII),Paolo Bruschetti,Funerary Texts,Clusium,200-100,larθi : peθnei : frauniσa	laθinial : sec :,"Note the spelling of the feminine gentilicium, latini, with the letter theta, laθini.",
4,fragment of base of kantharos or kyathos (ceramic),SE 69 (2003) REE 8 (tav. XXIV),Adriano Maggiani,Dedications,Vetulonia,625-600,[ - - v]enel p[ - - - ],The editor suggests that this inscription may be identical to the one	incised on the base of a kyathos recovered from Tomb 1 of the Tumulo di	S. Paolo at Cerveteri. The inscription from Caere reads as follows:		[mi]ni venel paiθina[s mu]luv(a)nice.,
5,plate (ceramic),SE 69 (2003) REE 2,Stefano Bruni,Proprietary Texts,Pisae,300-100,lariσ,,
6,kylix (ceramic),SE 56 (1991) REE 1 (tav. LV),Daniele Vitali,Proprietary Texts,Aemilia (Monterenzio/Bologna),300-250,petnei,,"Vitali, Daniele. 1987. Monte Bibele tra Etruschi e Celti: dati archeologici e interpretazione storica. Celti ed Etruschi nell’Italia centro settentrionale dal V secolo a.C. alla romanizzazione. Bologna. pp. 309-380."
7,fragment of (ceramic),SE 69 (2003) REE 1 (tav. XXII),Stefano Bruni,Abecedaria,Pisae,550-450,[ - - - ]x χ f φ χ [ - - - ],The initial part of inscription (a) is the remains of the feminine praenomen ramθa.	Inscription (b) is the final segment of what appears to be an	abecedarium. Both inscriptions were incised in dextroverse direction.,
8,cippus (marble),SE 69 (2003) REE 3 (tav. XXII 3a,Stefano Bruni,Funerary Texts,Ager Pisanus (Latignano di Cascina),600-500,mi [ - - - ],,
9,fragment of kylix (ceramic),SE 69 (2003) REE 4 (tav. XXII),Stefano Bruni,Proprietary Texts,Faesulae,recent,rarulpuia,,
10,fragment of bowl (ceramic),SE 69 (2003) REE 7 (tav. XXIII),Guido Bandinelli,Proprietary Texts,Saena,630-600,[ - - - ]χnix[ - - - ],The inscription was incised in dextroverse direction.,
